A:00 F:40 B:DC C:10 D:00 E:D8 H:DF L:DB SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DC C:10 D:00 E:D8 H:DF L:DB SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DC C:10 D:00 E:D8 H:DF L:DA SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DB C:10 D:00 E:D8 H:DF L:DA SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DB C:10 D:00 E:D8 H:DF L:DA SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DB C:10 D:00 E:D8 H:DF L:D9 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DA C:10 D:00 E:D8 H:DF L:D9 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DA C:10 D:00 E:D8 H:DF L:D9 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DA C:10 D:00 E:D8 H:DF L:D8 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:D9 C:10 D:00 E:D8 H:DF L:D8 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:D9 C:10 D:00 E:D8 H:DF L:D8 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:D9 C:10 D:00 E:D8 H:DF L:D7 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:D8 C:10 D:00 E:D8 H:DF L:D7 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D8 C:10 D:00 E:D8 H:DF L:D7 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D8 C:10 D:00 E:D8 H:DF L:D6 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D7 C:10 D:00 E:D8 H:DF L:D6 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D7 C:10 D:00 E:D8 H:DF L:D6 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D7 C:10 D:00 E:D8 H:DF L:D5 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D6 C:10 D:00 E:D8 H:DF L:D5 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D6 C:10 D:00 E:D8 H:DF L:D5 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D6 C:10 D:00 E:D8 H:DF L:D4 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D5 C:10 D:00 E:D8 H:DF L:D4 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D5 C:10 D:00 E:D8 H:DF L:D4 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D5 C:10 D:00 E:D8 H:DF L:D3 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D4 C:10 D:00 E:D8 H:DF L:D3 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:04
A:00 F:40 B:D4 C:10 D:00 E:D8 H:DF L:D3 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:04
